IOI;Data;;;
0,0435;C_persp_IC_p1_b1;;;
0,0439;C_persp_IC_p1_b1;;;
0,0234;C_persp_IC_p1_b1;;;
0,0366;C_persp_IC_p1_b1;;;
0,0413;C_persp_IC_p1_b2;;;
0,0401;C_persp_IC_p1_b2;;;
0,0384;C_persp_IC_p1_b2;;;
0,0448;C_persp_IC_p1_b3;;;
0,0448;C_persp_IC_p1_b3;;;
0,0448;C_persp_IC_p1_b3;;;
0,0243;C_persp_IC_p1_b3;;;
0,0396;C_persp_IC_p1_b4;;;
0,0409;C_persp_IC_p1_b4;;;
0,0418;C_persp_IC_p1_b4;;;
0,0401;C_persp_IC_p1_b5;;;
0,0396;C_persp_IC_p1_b5;;;
0,0392;C_persp_IC_p1_b5;;;
0,0426;C_persp_IC_p1_b6;;;
0,0439;C_persp_IC_p1_b6;;;
0,0482;C_persp_IC_p1_b6;;;
0,0418;C_persp_IC_p1_b7;;;
0,0439;C_persp_IC_p1_b7;;;
0,0405;C_persp_IC_p1_b7;;;
0,0405;C_persp_IC_p1_b7;;;
0,0452;C_persp_IC_p1_b8;;;
0,0413;C_persp_IC_p1_b8;;;
0,0426;C_persp_IC_p1_b8;;;
0,046;C_persp_IC_p1_b8;;;
0,0413;C_persp_IC_p1_b9;;;
0,0401;C_persp_IC_p1_b9;;;
0,0418;C_persp_IC_p1_b9;;;
0,0379;C_persp_IC_p1_b10;;;
0,0388;C_persp_IC_p1_b10;;;
0,0375;C_persp_IC_p1_b10;;;
0,0418;C_persp_IC_p1_b11;;;
0,0388;C_persp_IC_p1_b11;;;
0,0426;C_persp_IC_p1_b11;;;
0,0418;C_persp_IC_p2_b1;;;
0,0379;C_persp_IC_p2_b1;;;
0,0354;C_persp_IC_p2_b1;;;
0,0362;C_persp_IC_p2_b2;;;
0,0388;C_persp_IC_p2_b2;;;
0,0358;C_persp_IC_p2_b2;;;
0,0473;C_persp_IC_p2_b3;;;
0,0413;C_persp_IC_p2_b3;;;
0,0401;C_persp_IC_p2_b3;;;
0,0405;C_persp_IC_p2_b3;;;
0,0465;C_persp_IC_p2_b3;;;
0,0354;C_persp_IC_p2_b4;;;
0,0405;C_persp_IC_p2_b4;;;
0,0375;C_persp_IC_p2_b4;;;
0,0349;C_persp_IC_p2_b4;;;
0,0422;C_persp_IC_p2_b5;;;
0,0384;C_persp_IC_p2_b5;;;
0,0366;C_persp_IC_p2_b5;;;
0,043;C_persp_IC_p2_b6;;;
0,0388;C_persp_IC_p2_b6;;;
0,0401;C_persp_IC_p2_b6;;;
0,0546;C_persp_IC_p2_b6;;;
0,0413;C_persp_IC_p2_b7;;;
0,0422;C_persp_IC_p2_b7;;;
0,0422;C_persp_IC_p2_b7;;;
0,0405;C_persp_IC_p2_b7;;;
0,017;C_persp_IC_p2_b7;;;
0,0362;C_persp_IC_p2_b7;;;
0,0187;C_persp_IC_p2_b7;;;
0,0503;C_persp_IC_p2_b8;;;
0,0435;C_persp_IC_p2_b8;;;
0,0422;C_persp_IC_p2_b8;;;
0,0405;C_persp_IC_p2_b8;;;
0,0503;C_persp_IC_p3_b1;;;
0,0477;C_persp_IC_p3_b1;;;
0,0213;C_persp_IC_p3_b1;;;
0,0537;C_persp_IC_p3_b2;;;
0,0204;C_persp_IC_p3_b2;;;
0,0512;C_persp_IC_p3_b2;;;
0,0179;C_persp_IC_p3_b2;;;
0,0204;C_persp_IC_p3_b2;;;
0,0733;C_persp_IC_p3_b3;;;
0,0776;C_persp_IC_p3_b3;;;
0,0972;C_persp_IC_p3_b3;;;
0,0759;C_persp_IC_p3_b3;;;
0,0631;C_persp_IC_p3_b4;;;
0,0554;C_persp_IC_p3_b4;;;
0,0571;C_persp_IC_p3_b4;;;
0,0238;C_persp_IC_p3_b4;;;
0,058;C_persp_IC_p3_b5;;;
0,052;C_persp_IC_p3_b5;;;
0,0503;C_persp_IC_p3_b5;;;
0,0187;C_persp_IC_p3_b5;;;
0,0554;C_persp_IC_p3_b6;;;
0,0563;C_persp_IC_p3_b6;;;
0,0187;C_persp_IC_p3_b6;;;
